1	1462	1	1
1	6079	1	1
1	6749	1	1
8	1235	1	1
8	1460	1	1
8	1461	1	1
8	1462	1	1
8	1709	1	1
8	2447	1	1
8	2861	1	1
8	7499	1	1
9	3341	1	1
11	164	1	1
11	968	1	1
11	5869	1	1
12	1516	1	1
12	1930	1	1
12	6038	1	1
12	11819	1	1
12	13666	1	1
12	13730	1	1
13	119	1	1
13	352	1	1
13	689	1	1
13	1089	1	1
13	1473	1	1
13	1514	1	1
13	1817	1	1
13	3170	1	1
13	3920	1	1
13	3952	1	1
13	3973	1	1
13	4826	1	1
13	4935	1	1
13	5375	1	1
13	6109	1	1
13	7240	1	1
13	7587	1	1
13	9638	1	1
17	952	1	1
17	990	1	1
17	3489	1	1
17	4303	1	1
17	4335	1	1
17	4486	1	1
17	4878	1	1
17	5787	1	1
17	5789	1	1
17	6053	1	1
17	6054	1	1
17	9345	1	1
22	3938	1	1
22	8976	1	1
35	892	1	1
35	1961	1	1
35	2427	1	1
35	3125	1	1
41	4666	1	1
43	112	1	1
43	704	1	1
43	706	1	1
43	924	1	1
43	936	1	1
43	1090	1	1
43	1095	1	1
43	1150	1	1
43	1198	1	1
43	1236	1	1
43	1246	1	1
43	1462	1	1
43	1463	1	1
43	1556	1	1
43	1579	1	1
43	1668	1	1
43	2011	1	1
43	2310	1	1
43	2561	1	1
43	2616	1	1
43	2713	1	1
43	3996	1	1
43	4297	1	1
43	4409	1	1
43	4965	1	1
43	5694	1	1
43	5740	1	1
43	6010	1	1
43	6409	1	1
43	8149	1	1
43	8895	1	1
43	9089	1	1
43	10852	1	1
43	12340	1	1
43	14049	1	1
43	14261	1	1
46	365	1	1
46	776	1	1
46	825	1	1
46	1075	1	1
46	1298	1	1
46	2200	1	1
46	2320	1	1
46	2651	1	1
46	2874	1	1
46	3375	1	1
46	3708	1	1
46	3712	1	1
46	4109	1	1
46	4308	1	1
46	4519	1	1
46	4674	1	1
46	5815	1	1
46	5960	1	1
46	10588	1	1
47	3285	1	1
50	3047	1	1
50	8157	1	1
59	2614	1	1
59	3428	1	1
59	14526	1	1
62	904	1	1
64	1902	1	1
64	6737	1	1
65	1845	1	1
65	4560	1	1
65	4745	1	1
65	6251	1	1
65	6970	1	1
65	7746	1	1
65	9549	1	1
68	9159	1	1
72	383	1	1
72	540	1	1
72	541	1	1
72	542	1	1
72	548	1	1
72	785	1	1
72	786	1	1
72	980	1	1
72	1023	1	1
72	1127	1	1
72	1556	1	1
72	1838	1	1
72	4417	1	1
72	4418	1	1
72	4518	1	1
72	5487	1	1
72	6303	1	1
72	6549	1	1
72	7498	1	1
72	8248	1	1
72	8457	1	1
72	8990	1	1
72	12326	1	1
72	12340	1	1
74	4860	1	1
77	776	1	1
77	1091	1	1
77	3419	1	1
77	4477	1	1
77	5579	1	1
77	5815	1	1
77	7605	1	1
77	9674	1	1
